2*9,4*9,4*10,8*10,8*20,9*10,9*14,9*19,9*20,10*14,10*20,13*14,14*15
0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,1,0,1,1
1,1,0,0,1,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0
1,0,0,1,1,1,1,0,1,1,1,0,0
0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,1,1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,1,0,0
0,1,0,0,1,0,1,1,1,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,1,1,0,1,1,0,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1
0,1,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,1,0,0,1,0,0,0
0,1,1,0,0,1,0,0,1,0,1,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0
0,1,1,1,0,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,1,1,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,1
1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,0,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,1,0,1,0,0,0,0,0
1,1,1,0,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,1,1,0,1,1,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,1,0,1,0,0,0,1
1,1,0,0,1,0,1,0,1,0,0,1,0
0,0,1,1,1,0,0,0,0,1,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1
1,1,1,1,0,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,1,1,1,0,0,0,0,1,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,1,0,1,0,0
1,0,0,1,1,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,1,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,1,0,0,0
0,0,0,0,0,1,1,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,0,1,0
1,1,0,0,0,0,1,0,0,0,0,1,1
1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,1,0,1,1
0,0,0,1,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,1
0,1,1,1,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,1,1,0,1
1,0,0,1,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,1,1,0,0,1,1,0,1,1,1,1,0
0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,1,0,1,1,0,1,0,0
1,1,0,0,1,0,1,1,1,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,1,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,1,1,0
0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,1,1,0,0
1,1,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,1,0,0,1
1,1,1,0,0,1,1,0,0,1,0,0,1
1,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,1,1,1,0
0,1,1,1,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,1,1,0,1
0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,1
1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,1,0,1,0,0
0,1,0,0,1,0,1,1,1,0,0,1,0
1,1,1,1,0,1,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,1,0,0,1,0,1,0,0
0,1,0,0,0,0,1,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1,1,0
1,1,1,1,0,1,1,1,0,1,0,0,1
0,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1
1,0,0,1,1,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,1,0,1,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,1,1,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,1
1,0,0,0,1,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,1,1,0,0,1,0,0,1
0,1,1,0,0,1,1,0,0,1,0,1,1
0,0,1,1,1,0,0,0,0,1,1,0,1
0,1,1,1,1,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,0,1
1,0,0,0,0,0,1,1,1,0,0,0,0
1,1,1,0,0,1,0,0,1,0,1,0,0
0,1,1,1,1,1,0,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,1,0,1,0,0
1,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,0,0,1,1,0,1,1,1,0,1
0,1,1,1,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,1,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0,1
0,0,0,1,1,1,1,0,1,1,1,1,1
0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,1,1,0
1,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,1,1,1,0,1,1,1,0,1
1,1,1,0,0,1,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1,1
1,1,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,1,1,0,1,1,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,1,1
1,1,1,0,0,1,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,0,1,0,1,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,1,0,1,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,1,1,1,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,1,0,1,1,0,1,0,0
1,1,0,0,1,0,0,1,1,0,0,0,0
0,1,1,1,0,1,1,0,0,1,0,1,0
0,0,0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,1,1,0,0,0,0,1,1,1,1
0,1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,0,0,0,0,1,0,1,1
1,0,0,1,1,1,0,1,1,0,1,0,0
0,1,0,0,1,0,0,0,1,0,0,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,1
0,1,0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,0,0,1,1,1,0,1,0,1,1
0,0,0,0,0,0,0,0,0,1,1,1,1
1,0,0,1,1,1,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,0,1,1,1,1,0
0,0,1,0,0,0,0,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,1,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,1,1,0,1,1,1,1,1
1,1,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,1,1
0,1,1,0,0,1,0,1,1,0,1,0,0
1,1,1,0,0,1,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,0,1,0,1,1,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,1,1,0,0,0,1,1
1,0,0,1,1,1,1,0,1,1,1,0,0
1,1,0,0,0,0,1,1,0,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,1,1
1,1,1,1,1,1,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0,0,0,0
0,1,1,1,1,1,0,1,1,0,1,0,0
1,1,0,0,0,0,0,1,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0
0,1,1,1,0,1,1,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,1,1,1,1
0,0,1,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,1,1,1,0,1,0,0,1
0,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,1,1,0,1
1,1,0,0,0,0,1,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,0,1,1
0,0,0,0,0,1,1,1,1,1,1,1,0
1,0,0,0,0,1,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,1,1,1,1,0,0,1,0,1,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,1,0,0
0,0,0,1,0,1,1,1,0,1,0,0,0
0,1,1,0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
1,1,0,0,0,0,1,1,0,0,0,1,1
0,0,0,0,0,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,1,0,1,0,0
0,1,0,0,1,0,0,1,1,0,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,0,1,1,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,1,0,1,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,0,0,1,0,1,0
0,1,1,0,0,1,1,1,1,1,1,1,0
0,0,0,1,1,1,0,1,1,0,1,0,0
1,0,0,0,1,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,1,0,0,0,0,1
1,1,1,1,0,1,1,0,0,1,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,0,1,0,1,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,1,0,1,1,1,0,1,0,0,0
1,1,1,1,1,1,0,1,1,0,1,0,0
1,0,0,1,0,1,1,1,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,0,1,0,1,0
1,1,1,1,0,1,0,1,0,0,0,0,0
0,0,0,1,0,1,1,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,0,0,1,0,1,0
0,0,1,1,1,0,0,0,0,1,1,0,0
0,0,1,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
